job_role,skill
production manager,quality control
production manager,equipment maintenance
production manager,safety
production manager,problem solving
mechanical engineer,cad
mechanical engineer,mechanical design
mechanical engineer,physics
mechanical engineer,thermodynamics
mechanical engineer,problem solving
mechanical engineer,technical documentation
civil engineer,cad
civil engineer,project management
civil engineer,structural analysis
civil engineer,building codes
civil engineer,autocad
civil engineer,technical design
electrical engineer,circuit design
electrical engineer,electrical systems
electrical engineer,cad
electrical engineer,power systems
electrical engineer,troubleshooting
electrical engineer,technical knowledge
electronics engineer,circuit design
electronics engineer,embedded systems
electronics engineer,microcontrollers
electronics engineer,cad
electronics engineer,hardware design
electronics engineer,pcb design
embedded systems engineer,c/c++
embedded systems engineer,embedded linux
embedded systems engineer,hardware
embedded systems engineer,microcontrollers
embedded systems engineer,real-time systems
embedded systems engineer,low-level programming
chemical engineer,chemical processes
chemical engineer,safety
chemical engineer,data analysis
chemical engineer,thermochemistry
chemical engineer,process design
chemical engineer,laboratory skills
manufacturing engineer,process design
manufacturing engineer,cad
manufacturing engineer,production planning
manufacturing engineer,quality control
manufacturing engineer,problem solving
manufacturing engineer,equipment knowledge
automotive engineer,cad
automotive engineer,vehicle systems
automotive engineer,thermal systems
automotive engineer,materials
automotive engineer,testing
automotive engineer,problem solving
aerospace engineer,cad
aerospace engineer,aerodynamics
aerospace engineer,structural analysis
aerospace engineer,matlab
aerospace engineer,physics
aerospace engineer,design
environmental engineer,environmental assessment
environmental engineer,regulations
environmental engineer,water systems
environmental engineer,waste management
environmental engineer,sustainability
environmental engineer,analysis
structural engineer,structural analysis
structural engineer,cad
structural engineer,building codes
structural engineer,materials
structural engineer,calculations
structural engineer,design
project engineer,project management
project engineer,technical knowledge
project engineer,documentation
project engineer,coordination
project engineer,problem solving
project engineer,communication
project manager,project management
project manager,budget control
project manager,timeline management
project manager,team leadership
project manager,risk management
project manager,communication
construction manager,project management
construction manager,construction knowledge
construction manager,safety
construction manager,budget control
construction manager,contractor management
construction manager,compliance
real estate agent,sales
real estate agent,customer service
real estate agent,marketing
real estate agent,negotiation
real estate agent,property knowledge
real estate agent,communication
real estate broker,sales leadership
real estate broker,real estate knowledge
real estate broker,negotiation
real estate broker,business development
real estate broker,team management
real estate broker,communication
architect,architectural design
architect,cad
architect,building codes
architect,creativity
architect,technical knowledge
architect,client communication
landscape architect,design
landscape architect,cad
landscape architect,horticulture
landscape architect,environmental knowledge
landscape architect,creativity
landscape architect,technical skills
teacher,instruction
teacher,curriculum development
teacher,student assessment
teacher,communication
teacher,classroom management
teacher,patience
college professor,research
college professor,teaching
college professor,publication
college professor,mentoring
college professor,subject matter expertise
college professor,communication
training manager,program design
training manager,leadership
training manager,instruction
training manager,evaluation
training manager,curriculum development
training manager,communication
instructional designer,course development
instructional designer,adult learning
instructional designer,technology
instructional designer,e-learning
instructional designer,assessment
instructional designer,creativity
school principal,educational leadership
school principal,management
school principal,budgeting
school principal,staff management
school principal,community relations
school principal,vision
academic advisor,academic planning
academic advisor,student support
academic advisor,counseling
academic advisor,communication
academic advisor,problem solving
academic advisor,organization
nurse,patient care
nurse,medical knowledge
nurse,communication
nurse,critical thinking
nurse,compassion
nurse,attention to detail
registered nurse,nursing care
registered nurse,patient monitoring
registered nurse,medical records
registered nurse,communication
registered nurse,critical thinking
registered nurse,clinical skills
nursing manager,nursing leadership
nursing manager,staff management
nursing manager,patient safety
nursing manager,budget management
nursing manager,communication
nursing manager,clinical knowledge
physician,medical knowledge
physician,diagnosis
physician,treatment
physician,patient communication
physician,decision making
physician,empathy
surgeon,surgical expertise
surgeon,precision
surgeon,problem solving
surgeon,patient care
surgeon,research
surgeon,technical skills
pharmacist,pharmacy knowledge
pharmacist,patient counseling
pharmacist,drug interactions
pharmacist,attention to detail
pharmacist,communication
pharmacist,accuracy
physical therapist,physical therapy
physical therapist,patient assessment
physical therapist,exercise prescription
physical therapist,communication
physical therapist,anatomy knowledge
physical therapist,compassion
occupational therapist,occupational therapy
occupational therapist,patient assessment
occupational therapist,treatment planning
occupational therapist,communication
occupational therapist,problem solving
occupational therapist,empathy
medical technologist,lab testing
medical technologist,quality control
medical technologist,analysis
medical technologist,attention to detail
medical technologist,equipment operation
medical technologist,accuracy
healthcare administrator,healthcare management
healthcare administrator,budget control
healthcare administrator,leadership
healthcare administrator,compliance
healthcare administrator,strategic planning
healthcare administrator,communication
clinical lab scientist,laboratory analysis
clinical lab scientist,quality control
clinical lab scientist,equipment maintenance
clinical lab scientist,data analysis
clinical lab scientist,attention to detail
clinical lab scientist,safety
radiographer,imaging technology
radiographer,patient care
radiographer,radiation safety
radiographer,technical skills
radiographer,communication
radiographer,attention to detail
dentist,dental procedures
dentist,patient communication
dentist,diagnosis
dentist,attention to detail
dentist,compassion
dentist,clinical skills
psychologist,psychological assessment
psychologist,counseling
psychologist,research
psychologist,patient communication
psychologist,critical thinking
psychologist,empathy
psychiatrist,psychiatric diagnosis
psychiatrist,treatment planning
psychiatrist,patient communication
psychiatrist,medical knowledge
psychiatrist,problem solving
psychiatrist,empathy
graphic designer,design software
graphic designer,creativity
graphic designer,visual communication
graphic designer,adobe creative suite
graphic designer,branding
graphic designer,attention to detail
ux designer,user research
ux designer,wireframing
ux designer,prototyping
ux designer,usability testing
ux designer,design thinking
ux designer,communication
ui designer,visual design
ui designer,prototyping tools
ui designer,design systems
ui designer,ui principles
ui designer,figma
ui designer,creativity
web designer,web design
web designer,html/css
web designer,design tools
web designer,user experience
web designer,responsive design
web designer,creativity
video editor,video editing software
video editor,storytelling
video editor,color grading
video editor,audio editing
video editor,creativity
video editor,attention to detail
animator,animation software
animator,creativity
animator,storytelling
animator,drawing
animator,timing
animator,technical skills
3d artist,3d modeling
3d artist,texturing
3d artist,rendering
3d artist,software skills
3d artist,creativity
3d artist,problem solving
creative director,creative vision
creative director,leadership
creative director,communication
creative director,design knowledge
creative director,strategic thinking
creative director,team management
art director,artistic direction
art director,visual communication
art director,team leadership
art director,design principles
art director,communication
art director,creativity
photographer,photography
photographer,editing software
photographer,lighting
photographer,composition
photographer,client service
photographer,creativity
copywriter,writing
copywriter,creativity
copywriter,seo knowledge
copywriter,marketing
copywriter,brand voice
copywriter,research
journalist,writing
journalist,reporting
journalist,research
journalist,communication
journalist,ethics
journalist,source development
producer,production management
producer,leadership
producer,technical knowledge
producer,problem solving
producer,communication
producer,creativity
director,strategic planning
director,leadership
director,department management
director,budget control
director,decision making
director,communication
writer,writing
writer,storytelling
writer,research
writer,creativity
writer,communication
writer,attention to detail
editor,content editing
editor,writing
editor,organization
editor,attention to detail
editor,communication
editor,management
sound engineer,audio engineering
sound engineer,sound design
sound engineer,technical skills
sound engineer,equipment knowledge
sound engineer,problem solving
sound engineer,precision
broadcast technician,broadcasting
broadcast technician,equipment operation
broadcast technician,technical knowledge
broadcast technician,troubleshooting
broadcast technician,safety
broadcast technician,attention to detail
lawyer,legal knowledge
lawyer,research
lawyer,writing
lawyer,negotiation
lawyer,communication
lawyer,ethics
paralegal,legal research
paralegal,document preparation
paralegal,organization
paralegal,communication
paralegal,attention to detail
paralegal,legal knowledge
legal secretary,legal knowledge
legal secretary,administrative skills
legal secretary,organization
legal secretary,communication
legal secretary,typing
legal secretary,attention to detail
law clerk,legal research
law clerk,writing
law clerk,analysis
law clerk,attention to detail
law clerk,communication
law clerk,problem solving
judge,legal expertise
judge,decision making
judge,ethics
judge,fairness
judge,communication
judge,leadership
corporate lawyer,corporate law
corporate lawyer,contract negotiation
corporate lawyer,research
corporate lawyer,writing
corporate lawyer,strategic thinking
corporate lawyer,communication
patent attorney,patent law
patent attorney,technical knowledge
patent attorney,research
patent attorney,writing
patent attorney,communication
patent attorney,legal expertise
tax attorney,tax law
tax attorney,legal research
tax attorney,planning
tax attorney,writing
tax attorney,communication
tax attorney,analytical skills
management consultant,business analysis
management consultant,problem solving
management consultant,communication
management consultant,research
management consultant,strategic thinking
management consultant,project management
strategy consultant,strategic thinking
strategy consultant,analysis
strategy consultant,communication
strategy consultant,market knowledge
strategy consultant,problem solving
strategy consultant,leadership
business consultant,business analysis
business consultant,process improvement
business consultant,communication
business consultant,problem solving
business consultant,data analysis
business consultant,project management
it consultant,it knowledge
it consultant,problem solving
it consultant,communication
it consultant,system design
it consultant,project management
it consultant,technical expertise
hr consultant,hr expertise
hr consultant,organizational development
hr consultant,communication
hr consultant,problem solving
hr consultant,strategic thinking
hr consultant,analysis
customer service representative,customer service
customer service representative,communication
customer service representative,problem solving
customer service representative,patience
customer service representative,product knowledge
customer service representative,attention to detail
customer success manager,customer relations
customer success manager,account management
customer success manager,problem solving
customer success manager,communication
customer success manager,product knowledge
customer success manager,analytics
call center manager,team management
call center manager,customer service
call center manager,leadership
call center manager,performance metrics
call center manager,problem solving
call center manager,communication
technical support specialist,technical knowledge
technical support specialist,troubleshooting
technical support specialist,communication
technical support specialist,customer service
technical support specialist,problem solving
technical support specialist,patience
research scientist,research
research scientist,scientific knowledge
research scientist,experimentation
research scientist,data analysis
research scientist,writing
research scientist,problem solving
product researcher,research methodology
product researcher,data analysis
product researcher,user research
product researcher,report writing
product researcher,problem solving
product researcher,communication
laboratory manager,laboratory management
laboratory manager,scientific knowledge
laboratory manager,leadership
laboratory manager,safety
laboratory manager,equipment maintenance
laboratory manager,quality control
administrative assistant,administrative skills
administrative assistant,organization
administrative assistant,communication
administrative assistant,time management
administrative assistant,typing
administrative assistant,software skills
executive assistant,executive support
executive assistant,organization
executive assistant,communication
executive assistant,discretion
executive assistant,problem solving
executive assistant,leadership support
office manager,office management
office manager,leadership
office manager,organization
office manager,communication
office manager,problem solving
office manager,administrative skills
receptionist,customer service
receptionist,communication
receptionist,organization
receptionist,phone skills
receptionist,computer skills
receptionist,friendliness
chief executive officer,strategic leadership
chief executive officer,vision
chief executive officer,decision making
chief executive officer,business acumen
chief executive officer,communication
chief executive officer,executive management
coo,operations management
coo,strategic thinking
coo,leadership
coo,business operations
coo,decision making
coo,communication
vice president,strategic leadership
vice president,department management
vice president,business development
vice president,decision making
vice president,communication
vice president,vision
general manager,business management
general manager,leadership
general manager,p&l responsibility
general manager,strategic planning
general manager,decision making
general manager,communication
government analyst,policy analysis
government analyst,research
government analyst,writing
government analyst,data analysis
government analyst,government knowledge
government analyst,communication
public administrator,public administration
public administrator,leadership
public administrator,policy knowledge
public administrator,budget management
public administrator,strategic planning
public administrator,communication
policy advisor,policy expertise
policy advisor,analysis
policy advisor,writing
policy advisor,research
policy advisor,strategic thinking
policy advisor,communication
electrical utilities manager,electrical systems
electrical utilities manager,management
electrical utilities manager,safety
electrical utilities manager,regulatory knowledge
electrical utilities manager,problem solving
electrical utilities manager,leadership
water treatment operator,water treatment
water treatment operator,equipment operation
water treatment operator,safety
water treatment operator,testing
water treatment operator,compliance
water treatment operator,maintenance
safety engineer,safety management
safety engineer,risk assessment
safety engineer,regulatory knowledge
safety engineer,problem solving
safety engineer,communication
safety engineer,leadership
agricultural engineer,agricultural systems
agricultural engineer,equipment design
agricultural engineer,problem solving
agricultural engineer,technical knowledge
agricultural engineer,sustainability
agricultural engineer,analysis
food scientist,food science
food scientist,research
food scientist,testing
food scientist,quality control
food scientist,problem solving
food scientist,technical knowledge
nutritionist,nutrition science
nutritionist,meal planning
nutritionist,client communication
nutritionist,research
nutritionist,health knowledge
nutritionist,counseling
chef,cooking
chef,recipe development
chef,kitchen management
chef,creativity
chef,food safety
chef,time management
restaurant manager,restaurant management
restaurant manager,leadership
restaurant manager,customer service
restaurant manager,financial management
restaurant manager,staff management
restaurant manager,communication
hotel manager,hotel management
hotel manager,leadership
hotel manager,customer service
hotel manager,budget control
hotel manager,staff management
hotel manager,communication
event coordinator,event planning
event coordinator,organization
event coordinator,communication
event coordinator,problem solving
event coordinator,vendor management
event coordinator,budget management
travel agent,travel knowledge
travel agent,customer service
travel agent,sales
travel agent,computer skills
travel agent,organization
travel agent,communication
tour guide,communication
tour guide,regional knowledge
tour guide,customer service
tour guide,cultural sensitivity
tour guide,problem solving
tour guide,enthusiasm
sports manager,sports management
sports manager,leadership
sports manager,marketing
sports manager,financial management
sports manager,problem solving
sports manager,communication
coach,athletic knowledge
coach,coaching
coach,leadership
coach,communication
coach,motivation
coach,training program design
personal trainer,fitness knowledge
personal trainer,training program design
personal trainer,motivation
personal trainer,communication
personal trainer,anatomy
personal trainer,problem solving
fitness manager,fitness industry knowledge
fitness manager,management
fitness manager,customer service
fitness manager,sales
fitness manager,leadership
fitness manager,communication
truck driver,driving
truck driver,safety
truck driver,route planning
truck driver,vehicle maintenance
truck driver,time management
truck driver,responsibility
delivery driver,driving
delivery driver,customer service
delivery driver,organization
delivery driver,time management
delivery driver,safety
delivery driver,communication
fleet manager,fleet management
fleet manager,maintenance
fleet manager,safety
fleet manager,cost management
fleet manager,leadership
fleet manager,problem solving
pilot,flying
pilot,navigation
pilot,safety
pilot,technical knowledge
pilot,decision making
pilot,responsibility
social worker,case management
social worker,counseling
social worker,problem solving
social worker,communication
social worker,empathy
social worker,crisis intervention
counselor,counseling
counselor,active listening
counselor,problem solving
counselor,empathy
counselor,communication
counselor,treatment planning
community outreach coordinator,community engagement
community outreach coordinator,program management
community outreach coordinator,communication
community outreach coordinator,organization
community outreach coordinator,problem solving
community outreach coordinator,cultural sensitivity
grant writer,grant writing
grant writer,research
grant writer,communication
grant writer,organization
grant writer,problem solving
grant writer,fundraising knowledge
non-profit director,non-profit leadership
non-profit director,fundraising
non-profit director,strategic planning
non-profit director,budget management
non-profit director,communication
non-profit director,vision
fundraiser,fundraising
fundraiser,relationship building
fundraiser,communication
fundraiser,sales
fundraiser,problem solving
fundraiser,event planning
environmental scientist,environmental science
environmental scientist,research
environmental scientist,analysis
environmental scientist,problem solving
environmental scientist,technical knowledge
environmental scientist,sustainability
sustainability consultant,sustainability strategy
sustainability consultant,environmental knowledge
sustainability consultant,business acumen
sustainability consultant,communication
sustainability consultant,problem solving
sustainability consultant,analysis
content creator,content creation
content creator,social media
content creator,video production
content creator,creativity
content creator,communication
content creator,technical skills
social media content creator,social media
social media content creator,content creation
social media content creator,photography/videography
social media content creator,analytics
social media content creator,creativity
social media content creator,communication
videographer,video shooting
videographer,editing
videographer,lighting
videographer,storytelling
videographer,technical skills
videographer,creativity
blockchain developer,solidity
blockchain developer,cryptocurrency
blockchain developer,smart contracts
blockchain developer,blockchain technology
blockchain developer,python
blockchain developer,problem solving
ai/ml specialist,artificial intelligence
ai/ml specialist,deep learning
ai/ml specialist,python
ai/ml specialist,tensorflow
ai/ml specialist,research
ai/ml specialist,problem solving
iot engineer,iot technology
iot engineer,embedded systems
iot engineer,networking
iot engineer,c/c++
iot engineer,sensors
iot engineer,system design
ar/vr developer,unity
ar/vr developer,unreal engine
ar/vr developer,c#
ar/vr developer,3d graphics
ar/vr developer,ar/vr platforms
ar/vr developer,problem solving
devsecops engineer,devops
devsecops engineer,security
devsecops engineer,ci/cd
devsecops engineer,container security
devsecops engineer,compliance
devsecops engineer,linux
solution architect,solution design
solution architect,system architecture
solution architect,technical expertise
solution architect,communication
solution architect,business acumen
solution architect,leadership
enterprise architect,enterprise architecture
enterprise architect,strategic design
enterprise architect,leadership
enterprise architect,communication
enterprise architect,technical expertise
enterprise architect,vision
react developer,javascript
react developer,react
react developer,css
react developer,html
react developer,redux
react developer,api integration
vue developer,javascript
vue developer,vue.js
vue developer,css
vue developer,html
vue developer,vuex
vue developer,api integration
angular developer,javascript
angular developer,angular
angular developer,typescript
angular developer,css
angular developer,rxjs
angular developer,api integration
php developer,php
php developer,laravel
php developer,symfony
php developer,mysql
php developer,api development
php developer,html/css
python developer,python
python developer,django
python developer,flask
python developer,sql
python developer,rest api
python developer,problem solving
ruby developer,ruby
ruby developer,ruby on rails
ruby developer,sql
ruby developer,html/css
ruby developer,api development
ruby developer,problem solving
go developer,go
go developer,microservices
go developer,api development
go developer,concurrency
go developer,docker
go developer,problem solving
rust developer,rust
rust developer,system programming
rust developer,memory safety
rust developer,cargo
rust developer,problem solving
rust developer,performance optimization
java backend developer,java
java backend developer,spring boot
java backend developer,sql
java backend developer,rest api
java backend developer,microservices
java backend developer,maven
c++ developer,c++
c++ developer,system programming
c++ developer,memory management
c++ developer,problem solving
c++ developer,debugging
c++ developer,performance
c# developer,c#
c# developer,.net framework
c# developer,sql
c# developer,azure
c# developer,api development
c# developer,linq
scala developer,scala
scala developer,functional programming
scala developer,apache spark
scala developer,sql
scala developer,problem solving
scala developer,big data
perl developer,perl
perl developer,text processing
perl developer,scripting
perl developer,regular expressions
perl developer,problem solving
perl developer,system administration
shell script developer,shell scripting
shell script developer,linux
shell script developer,automation
shell script developer,bash
shell script developer,system administration
shell script developer,problem solving
elixir developer,elixir
elixir developer,phoenix framework
elixir developer,functional programming
elixir developer,erlang
elixir developer,distributed systems
elixir developer,problem solving
clojure developer,clojure
clojure developer,functional programming
clojure developer,java interop
clojure developer,lispyscript
clojure developer,problem solving
clojure developer,concurrency
haskell developer,haskell
haskell developer,functional programming
haskell developer,type system
haskell developer,problem solving
haskell developer,concurrency
haskell developer,lambda calculus
typescript developer,typescript
typescript developer,javascript
typescript developer,node.js
typescript developer,type safety
typescript developer,object-oriented design
typescript developer,problem solving
kotlin developer,kotlin
kotlin developer,android development
kotlin developer,java interop
kotlin developer,coroutines
kotlin developer,problem solving
kotlin developer,mobile development
swift developer,swift
swift developer,ios development
swift developer,xcode
swift developer,ui/ux
swift developer,problem solving
swift developer,mobile development
r programmer,r
r programmer,statistical analysis
r programmer,data visualization
r programmer,tidyverse
r programmer,ggplot2
r programmer,problem solving
matlab developer,matlab
matlab developer,numerical analysis
matlab developer,signal processing
matlab developer,simulink
matlab developer,problem solving
matlab developer,mathematics
jupyter developer,jupyter notebooks
jupyter developer,python
jupyter developer,data analysis
jupyter developer,visualization
jupyter developer,documentation
jupyter developer,collaboration
oracle dba,oracle database
oracle dba,sql
oracle dba,database administration
oracle dba,performance tuning
oracle dba,backup recovery
oracle dba,security
mongodb developer,mongodb
mongodb developer,nosql
mongodb developer,json
mongodb developer,javascript
mongodb developer,aggregation
mongodb developer,indexing
cassandra developer,cassandra
cassandra developer,nosql
cassandra developer,distributed systems
cassandra developer,cql
cassandra developer,scalability
cassandra developer,performance
redis developer,redis
redis developer,caching
redis developer,data structures
redis developer,pub/sub
redis developer,performance optimization
redis developer,scalability
elasticsearch developer,elasticsearch
elasticsearch developer,search technology
elasticsearch developer,analytics
elasticsearch developer,query dsl
elasticsearch developer,kibana
elasticsearch developer,performance
kafka developer,apache kafka
kafka developer,streaming
kafka developer,event processing
kafka developer,distributed systems
kafka developer,scalability
kafka developer,problem solving
spark developer,apache spark
spark developer,big data
spark developer,python
spark developer,scala
spark developer,distributed computing
spark developer,sql
hadoop developer,hadoop
hadoop developer,hdfs
hadoop developer,mapreduce
hadoop developer,big data
hadoop developer,java
hadoop developer,distributed computing
data warehouse architect,data warehouse design
data warehouse architect,etl
data warehouse architect,sql
data warehouse architect,dimensional modeling
data warehouse architect,performance tuning
data warehouse architect,strategic planning
etl developer,etl tools
etl developer,sql
etl developer,data integration
etl developer,data quality
etl developer,problem solving
etl developer,performance
talend developer,talend
talend developer,etl
talend developer,data integration
talend developer,java
talend developer,sql
talend developer,data quality
informatica developer,informatica
informatica developer,etl
informatica developer,data integration
informatica developer,sql
informatica developer,data quality
informatica developer,performance tuning
sas programmer,sas
sas programmer,statistical analysis
sas programmer,data management
sas programmer,visualization
sas programmer,sql
sas programmer,problem solving
power bi developer,power bi
power bi developer,data visualization
power bi developer,dax
power bi developer,sql
power bi developer,excel
power bi developer,dashboard development
looker developer,looker
looker developer,data visualization
looker developer,lookml
looker developer,sql
looker developer,analytics
looker developer,dashboard development
qlik developer,qlik sense
qlik developer,qlik view
qlik developer,data visualization
qlik developer,sql
qlik developer,analytics
qlik developer,dashboard development
tableau specialist,tableau
tableau specialist,data visualization
tableau specialist,sql
