Job Title,Category,Education Requirement,Experience Years,Required Skills,Salary Range
management consultant,consulting,master's in business|mba,2,business analysis|problem solving|communication|research|strategic thinking|project management,90-180k
strategy consultant,consulting,mba|master's in strategy,3,strategic thinking|analysis|communication|market knowledge|problem solving|leadership,100-200k
business consultant,consulting,bachelor's in business|mba,2,business analysis|process improvement|communication|problem solving|data analysis|project management,80-150k
it consultant,consulting,bachelor's in computer science|it certification,3,it knowledge|problem solving|communication|system design|project management|technical expertise,90-160k
hr consultant,consulting,bachelor's in hr|master's in business,3,hr expertise|organizational development|communication|problem solving|strategic thinking|analysis,85-155k
customer service representative,sales & customer service,high school|customer service certification,0,customer service|communication|problem solving|patience|product knowledge|attention to detail,30-55k
customer success manager,sales & customer service,bachelor's in business|customer success certification,2,customer relations|account management|problem solving|communication|product knowledge|analytics,60-110k
call center manager,sales & customer service,high school|management experience,2,team management|customer service|leadership|performance metrics|problem solving|communication,50-90k
technical support specialist,sales & customer service,high school|it certification,1,technical knowledge|troubleshooting|communication|customer service|problem solving|patience,40-75k
research scientist,research & development,master's in science|phd,2,research|scientific knowledge|experimentation|data analysis|writing|problem solving,80-150k
product researcher,research & development,bachelor's in science|master's in research,2,research methodology|data analysis|user research|report writing|problem solving|communication,70-130k
laboratory manager,research & development,master's in science|bachelor's in laboratory science,3,laboratory management|scientific knowledge|leadership|safety|equipment maintenance|quality control,75-130k
administrative assistant,administration,high school|administrative certification,0,administrative skills|organization|communication|time management|typing|software skills,35-60k
executive assistant,administration,bachelor's in business|administrative certification,2,executive support|organization|communication|discretion|problem solving|leadership support,55-95k
office manager,administration,high school|leadership experience,2,office management|leadership|organization|communication|problem solving|administrative skills,50-85k
receptionist,administration,high school,0,customer service|communication|organization|phone skills|computer skills|friendliness,30-55k
chief executive officer,private sector management,mba|master's in business,10,strategic leadership|vision|decision making|business acumen|communication|executive management,200-500k
coo,private sector management,mba|master's in business,10,operations management|strategic thinking|leadership|business operations|decision making|communication,180-400k
vice president,private sector management,master's in business|mba,7,strategic leadership|department management|business development|decision making|communication|vision,140-300k
general manager,private sector management,bachelor's in business|master's in business,5,business management|leadership|p&l responsibility|strategic planning|decision making|communication,90-170k
government analyst,government & public service,bachelor's in political science|bachelor's in public administration,1,policy analysis|research|writing|data analysis|government knowledge|communication,55-95k
public administrator,government & public service,master's in public administration|mpa,2,public administration|leadership|policy knowledge|budget management|strategic planning|communication,65-120k
policy advisor,government & public service,master's in public policy|master's in relevant field,3,policy expertise|analysis|writing|research|strategic thinking|communication,75-140k
electrical utilities manager,energy & utilities,bachelor's in electrical engineering|engineering license,3,electrical systems|management|safety|regulatory knowledge|problem solving|leadership,85-145k
water treatment operator,energy & utilities,certificate in water treatment|high school,1,water treatment|equipment operation|safety|testing|compliance|maintenance,50-85k
safety engineer,energy & utilities,bachelor's in safety engineering|safety certification,2,safety management|risk assessment|regulatory knowledge|problem solving|communication|leadership,70-130k
agricultural engineer,agriculture & food,bachelor's in agricultural engineering,2,agricultural systems|equipment design|problem solving|technical knowledge|sustainability|analysis,60-115k
food scientist,agriculture & food,bachelor's in food science|master's in food science,2,food science|research|testing|quality control|problem solving|technical knowledge,65-125k
nutritionist,agriculture & food,bachelor's in nutrition|nutritionist certification,1,nutrition science|meal planning|client communication|research|health knowledge|counseling,55-100k
chef,agriculture & food,culinary school|culinary certification,1,cooking|recipe development|kitchen management|creativity|food safety|time management,50-100k
restaurant manager,agriculture & food,high school|management experience,2,restaurant management|leadership|customer service|financial management|staff management|communication,50-90k
hotel manager,hospitality & tourism,bachelor's in hospitality management,3,hotel management|leadership|customer service|budget control|staff management|communication,60-110k
event coordinator,hospitality & tourism,associate in event planning|certification,1,event planning|organization|communication|problem solving|vendor management|budget management,45-85k
travel agent,hospitality & tourism,high school|travel industry certification,0,travel knowledge|customer service|sales|computer skills|organization|communication,35-70k
tour guide,hospitality & tourism,high school|language skills,0,communication|regional knowledge|customer service|cultural sensitivity|problem solving|enthusiasm,30-60k
sports manager,sports & recreation,bachelor's in sports management,2,sports management|leadership|marketing|financial management|problem solving|communication,60-120k
coach,sports & recreation,bachelor's in physical education|coaching certification,1,athletic knowledge|coaching|leadership|communication|motivation|training program design,40-90k
personal trainer,sports & recreation,personal training certification|high school,0,fitness knowledge|training program design|motivation|communication|anatomy|problem solving,35-80k
fitness manager,sports & recreation,associate in fitness management|high school,2,fitness industry knowledge|management|customer service|sales|leadership|communication,50-90k
truck driver,transportation & logistics,high school|commercial driver's license,0,driving|safety|route planning|vehicle maintenance|time management|responsibility,40-70k
delivery driver,transportation & logistics,high school|driver's license,0,driving|customer service|organization|time management|safety|communication,35-65k
fleet manager,transportation & logistics,high school|management experience,3,fleet management|maintenance|safety|cost management|leadership|problem solving,60-110k
pilot,transportation & logistics,commercial pilot license|training,2,flying|navigation|safety|technical knowledge|decision making|responsibility,100-200k
social worker,human services & social work,master's in social work|msw license,1,case management|counseling|problem solving|communication|empathy|crisis intervention,45-85k
counselor,human services & social work,master's in counseling|licensing credentials,1,counseling|active listening|problem solving|empathy|communication|treatment planning,50-95k
community outreach coordinator,human services & social work,bachelor's in social work|bachelor's in communications,1,community engagement|program management|communication|organization|problem solving|cultural sensitivity,45-80k
grant writer,non-profit & charity,bachelor's in writing|grant writing certification,1,grant writing|research|communication|organization|problem solving|fundraising knowledge,50-90k
non-profit director,non-profit & charity,master's in non-profit management|master's in business,5,non-profit leadership|fundraising|strategic planning|budget management|communication|vision,70-130k
fundraiser,non-profit & charity,bachelor's in communications|fundraising certification,1,fundraising|relationship building|communication|sales|problem solving|event planning,50-100k
environmental scientist,environmental,bachelor's in environmental science|master's in environmental science,1,environmental science|research|analysis|problem solving|technical knowledge|sustainability,60-120k
sustainability consultant,environmental,bachelor's in environmental science|mba,2,sustainability strategy|environmental knowledge|business acumen|communication|problem solving|analysis,70-140k
content creator,media production,high school|digital media skills,0,content creation|social media|video production|creativity|communication|technical skills,30-80k
social media content creator,media production,high school|social media certification,0,social media|content creation|photography/videography|analytics|creativity|communication,35-85k
videographer,media production,associate in videography|certification,1,video shooting|editing|lighting|storytelling|technical skills|creativity,45-95k
blockchain developer,technology,bachelor's in computer science|blockchain certification,2,solidity|cryptocurrency|smart contracts|blockchain technology|python|problem solving,100-200k
ai/ml specialist,technology,master's in ai|master's in machine learning,2,artificial intelligence|deep learning|python|tensorflow|research|problem solving,110-200k
iot engineer,technology,bachelor's in electronics|bachelor's in computer engineering,2,iot technology|embedded systems|networking|c/c++|sensors|system design,85-150k
ar/vr developer,technology,bachelor's in computer science|specialized training,2,unity|unreal engine|c#|3d graphics|ar/vr platforms|problem solving,90-160k
devsecops engineer,technology,bachelor's in computer science|security certification,3,devops|security|ci/cd|container security|compliance|linux,110-180k
solution architect,technology,master's in computer science|architecture certification,5,solution design|system architecture|technical expertise|communication|business acumen|leadership,120-200k
enterprise architect,technology,master's in computer science|enterprise architecture certification,7,enterprise architecture|strategic design|leadership|communication|technical expertise|vision,140-240k
react developer,technology,bachelor's in computer science|bootcamp,1,javascript|react|css|html|redux|api integration,65-120k
vue developer,technology,bachelor's in computer science,1,javascript|vue.js|css|html|vuex|api integration,60-115k
angular developer,technology,bachelor's in computer science,2,javascript|angular|typescript|css|rxjs|api integration,70-130k
php developer,technology,bachelor's in computer science,1,php|laravel|symfony|mysql|api development|html/css,55-105k
python developer,technology,bachelor's in computer science,1,python|django|flask|sql|rest api|problem solving,65-120k
ruby developer,technology,bachelor's in computer science,1,ruby|ruby on rails|sql|html/css|api development|problem solving,65-125k
go developer,technology,bachelor's in computer science,2,go|microservices|api development|concurrency|docker|problem solving,80-140k
rust developer,technology,bachelor's in computer science,2,rust|system programming|memory safety|cargo|problem solving|performance optimization,85-150k
java backend developer,technology,bachelor's in computer science,2,java|spring boot|sql|rest api|microservices|maven,75-135k
c++ developer,technology,bachelor's in computer science,2,c++|system programming|memory management|problem solving|debugging|performance,75-135k
c# developer,technology,bachelor's in computer science,1,c#|.net framework|sql|azure|api development|linq,70-130k
scala developer,technology,bachelor's in computer science,2,scala|functional programming|apache spark|sql|problem solving|big data,80-140k
perl developer,technology,bachelor's in computer science,2,perl|text processing|scripting|regular expressions|problem solving|system administration,70-125k
shell script developer,technology,bachelor's in computer science,1,shell scripting|linux|automation|bash|system administration|problem solving,60-110k
elixir developer,technology,bachelor's in computer science,2,elixir|phoenix framework|functional programming|erlang|distributed systems|problem solving,80-140k
clojure developer,technology,bachelor's in computer science,2,clojure|functional programming|java interop|lispyscript|problem solving|concurrency,80-140k
haskell developer,technology,bachelor's in computer science,2,haskell|functional programming|type system|problem solving|concurrency|lambda calculus,80-140k
typescript developer,technology,bachelor's in computer science,1,typescript|javascript|node.js|type safety|object-oriented design|problem solving,70-130k
kotlin developer,technology,bachelor's in computer science,1,kotlin|android development|java interop|coroutines|problem solving|mobile development,70-130k
swift developer,technology,bachelor's in computer science,1,swift|ios development|xcode|ui/ux|problem solving|mobile development,75-135k
r programmer,data & analytics,bachelor's in statistics|bachelor's in mathematics,1,r|statistical analysis|data visualization|tidyverse|ggplot2|problem solving,65-120k
matlab developer,technology,bachelor's in engineering|bachelor's in physics,1,matlab|numerical analysis|signal processing|simulink|problem solving|mathematics,70-130k
jupyter developer,data & analytics,bachelor's in computer science|data science certificate,1,jupyter notebooks|python|data analysis|visualization|documentation|collaboration,65-120k
oracle dba,technology,bachelor's in it|oracle certification,3,oracle database|sql|database administration|performance tuning|backup recovery|security,80-145k
mongodb developer,technology,bachelor's in computer science,2,mongodb|nosql|json|javascript|aggregation|indexing,75-135k
cassandra developer,technology,bachelor's in computer science,2,cassandra|nosql|distributed systems|cql|scalability|performance,80-145k
redis developer,technology,bachelor's in computer science,2,redis|caching|data structures|pub/sub|performance optimization|scalability,80-140k
elasticsearch developer,technology,bachelor's in computer science,2,elasticsearch|search technology|analytics|query dsl|kibana|performance,80-140k
kafka developer,technology,bachelor's in computer science,2,apache kafka|streaming|event processing|distributed systems|scalability|problem solving,85-150k
spark developer,data & analytics,bachelor's in computer science,2,apache spark|big data|python|scala|distributed computing|sql,85-150k
hadoop developer,data & analytics,bachelor's in computer science,2,hadoop|hdfs|mapreduce|big data|java|distributed computing,85-150k
data warehouse architect,data & analytics,master's in it|data warehouse certification,5,data warehouse design|etl|sql|dimensional modeling|performance tuning|strategic planning,110-180k
etl developer,data & analytics,bachelor's in it,2,etl tools|sql|data integration|data quality|problem solving|performance,70-130k
talend developer,data & analytics,bachelor's in it,2,talend|etl|data integration|java|sql|data quality,75-135k
informatica developer,data & analytics,bachelor's in it,2,informatica|etl|data integration|sql|data quality|performance tuning,75-135k
sas programmer,data & analytics,bachelor's in statistics|sas certification,1,sas|statistical analysis|data management|visualization|sql|problem solving,70-130k
power bi developer,data & analytics,bachelor's in it,1,power bi|data visualization|dax|sql|excel|dashboard development,65-125k
looker developer,data & analytics,bachelor's in it,2,looker|data visualization|lookml|sql|analytics|dashboard development,75-135k
qlik developer,data & analytics,bachelor's in it,2,qlik sense|qlik view|data visualization|sql|analytics|dashboard development,75-135k
tableau specialist,data & analytics,bachelor's in it|tableau certification,1,tableau|data visualization|sql|analytics|dashboard design|communication,65-120k
salesforce developer,technology,bachelor's in computer science|salesforce certification,2,salesforce|apex|visualforce|lightning|crm|problem solving,80-150k
salesforce administrator,technology,bachelor's in it|salesforce admin certification,1,salesforce|administration|configuration|user management|data management|support,60-110k
sap developer,technology,bachelor's in it|sap certification,2,sap|abap|enterprise systems|sql|problem solving|configuration,85-150k
oracle applications developer,technology,bachelor's in it|oracle certification,2,oracle apps|pl/sql|erp systems|sql|problem solving|configuration,80-145k
shopify developer,technology,bachelor's in computer science,1,shopify|liquid|javascript|api integration|e-commerce|problem solving,70-130k
wordpress developer,technology,high school|wordpress certification,1,wordpress|php|javascript|css|plugin development|theme development,55-110k
drupal developer,technology,bachelor's in computer science,2,drupal|php|javascript|mysql|theme development|module development,70-130k
magento developer,technology,bachelor's in computer science,2,magento|php|javascript|e-commerce|mysql|problem solving,75-135k
joomla developer,technology,bachelor's in computer science,1,joomla|php|javascript|cms|mysql|theme development,60-115k
cybersecurity analyst,technology,bachelor's in cybersecurity|security+ certification,1,threat analysis|vulnerability assessment|security systems|log analysis|incident response|risk assessment,70-130k
