Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category
r000050,"Education: Master's in Strategy Experience: 6 years Skills: Shell Scripting, Analysis, Documentation, Market Knowledge, Communication, Problem Solving, User Interface, Query Optimization",master's in strategy,6,shell scripting|analysis|documentation|market knowledge|communication|problem solving|user interface|query optimization|leadership|vue.js|strategic thinking,strategy consultant,consulting
r000051,"Education: Museum Studies Experience: 3 years Skills: Curation, Problem Solving, Communication, Java, Art Knowledge, Microservices, Management, Research",museum studies,3,curation|problem solving|communication|java|art knowledge|microservices|management|research,museum curator,arts & culture
r000052,"Education: Medical Degree Experience: 5 years Skills: REST API, Decision Making, Go, Network Security, Medical Knowledge, Angular, NumPy, Empathy",medical degree,5,rest api|decision making|go|network security|medical knowledge|angular|numpy|empathy|treatment|diagnosis|patient communication,physician,healthcare
r000053,"Education: Bachelor's in Computer Science Experience: 1 years Skills: React, Java Interop, Coroutines, Kanban, Android Development, Problem Solving, Mobile Development, Kotlin",bachelor's in computer science,1,react|java interop|coroutines|kanban|android development|problem solving|mobile development|kotlin,kotlin developer,technology
r000054,"Education: High School Experience: 2 years Skills: Agile, Problem Solving, Customer Relations, Inventory, Sales, Staff Management, Web Design, Store Management",high school,2,agile|problem solving|customer relations|inventory|sales|staff management|web design|store management|leadership,store manager,retail & hospitality
r000055,"Education: Culinary School Experience: 5 years Skills: Kitchen Management, Leadership, Kubernetes, Serverless, Culinary Skills, Creativity, Training, Penetration Testing",culinary school,5,kitchen management|leadership|kubernetes|serverless|culinary skills|creativity|training|penetration testing|food safety|financial analysis,sous chef,hospitality & food service
r000056,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Problem Solving, Flutter, Outdoor Skills, Environmental Knowledge, Conservation, CSS, Confluence, Public Safety",bachelor's in environmental science,3,problem solving|flutter|outdoor skills|environmental knowledge|conservation|css|confluence|public safety|communication|mysql,park ranger,conservation
r000057,"Education: Master's in Science Experience: 1 years Skills: Data Analysis, Writing, Problem Solving, Research, HTML, Experimentation, Scrum, Scientific Knowledge",master's in science,1,data analysis|writing|problem solving|research|html|experimentation|scrum|scientific knowledge,research scientist,research & development
r000058,"Education: Bachelor's in Physical Education Experience: 0 years Skills: Kanban, P&L Management, Athletic Knowledge, Coaching, Risk Assessment, Leadership, Training Program Design, Communication",bachelor's in physical education,0,kanban|p&l management|athletic knowledge|coaching|risk assessment|leadership|training program design|communication|motivation,coach,sports & recreation
r000059,"Education: Bachelor's in Computer Science Experience: 0 years Skills: Jenkins, JavaScript, C#, CMS, NumPy, Web Design, PHP, MySQL",bachelor's in computer science,0,jenkins|javascript|c#|cms|numpy|web design|php|mysql|joomla|theme development,joomla developer,technology
r000060,"Education: Bachelor's in Marketing Experience: 2 years Skills: R, Jira, CRM, Product Knowledge, Client Relationships, Communication, Flutter, P&L Management",bachelor's in marketing,2,r|jira|crm|product knowledge|client relationships|communication|flutter|p&l management|negotiation|selling,sales executive,marketing & sales
r000061,"Education: High School Experience: 0 years Skills: Point of Sale, Time Management, Accuracy, CSS, Cash Handling, User Experience, Customer Service, Friendliness",high school,0,point of sale|time management|accuracy|css|cash handling|user experience|customer service|friendliness|flutter|communication|problem solving,cashier,retail & hospitality
r000062,"Education: Bachelor's in IT Experience: 1 years Skills: Database Optimization, Security, Marketing, SQL, MongoDB, Backup Recovery, Linux, Financial Analysis",bachelor's in it,1,database optimization|security|marketing|sql|mongodb|backup recovery|linux|financial analysis,database administrator,technology
r000063,"Education: Salesforce Certification Experience: 4 years Skills: Lightning, Mobile Security, MySQL, Salesforce, Apex, Data Analysis, Mobile UI/UX, VisualForce",salesforce certification,4,lightning|mobile security|mysql|salesforce|apex|data analysis|mobile ui/ux|visualforce|problem solving|crm,salesforce developer,technology
r000064,"Education: Networking Certification Experience: 5 years Skills: Routing, Networking, Adobe Creative Suite, TCP/IP, Configuration, Cisco, Security, Flutter",networking certification,5,routing|networking|adobe creative suite|tcp/ip|configuration|cisco|security|flutter,network engineer,technology
r000065,"Education: Broadcasting Experience: 2 years Skills: Professionalism, PyTorch, Communication, Public Speaking, Voice Skills, Quick Thinking, Pronunciation, Responsive Design",broadcasting,2,professionalism|pytorch|communication|public speaking|voice skills|quick thinking|pronunciation|responsive design|swift|problem solving|scala,announcer,media & entertainment
r000066,"Education: Bachelor's in Computer Science Experience: 1 years Skills: Drupal, MySQL, Theme Development, Communication, Module Development, Azure, JavaScript, GCP",bachelor's in computer science,1,drupal|mysql|theme development|communication|module development|azure|javascript|gcp|php|adobe creative suite,drupal developer,technology
r000067,"Education: Master's in Non-profit Management Experience: 8 years Skills: Communication, Vision, CloudFormation, C++, Non-profit Leadership, Fundraising, Budget Management, Documentation",master's in non-profit management,8,communication|vision|cloudformation|c++|non-profit leadership|fundraising|budget management|documentation|strategic planning,non-profit director,non-profit & charity
r000068,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Marketing, CI/CD, Compliance, Security, TypeScript, Microservices, Linux, Container Security",bachelor's in computer science,2,marketing|ci/cd|compliance|security|typescript|microservices|linux|container security|devops,devsecops engineer,technology
r000069,"Education: Dental License Experience: 1 years Skills: GraphQL, Patient Communication, Web Design, Clinical Skills, Dental Procedures, Flask, Firewalls, Compassion",dental license,1,graphql|patient communication|web design|clinical skills|dental procedures|flask|firewalls|compassion|diagnosis|attention to detail,dentist,healthcare
r000070,"Education: High School Experience: 2 years Skills: Problem Solving, Financial Analysis, Teamwork, Critical Thinking, Customer Service, Product Knowledge, Marketing, Communication",high school,2,problem solving|financial analysis|teamwork|critical thinking|customer service|product knowledge|marketing|communication|sales,sales associate,retail & hospitality
r000071,"Education: Bachelor's in IT Experience: 2 years Skills: GCP, Data Visualization, Analytics, Looker, SQL, MySQL, Dashboard Development, LookML",bachelor's in it,2,gcp|data visualization|analytics|looker|sql|mysql|dashboard development|lookml|decision making|go,looker developer,data & analytics
r000072,"Education: Bachelor's in Business Experience: 4 years Skills: Real Estate Knowledge, CloudFormation, Adobe Creative Suite, Swift, Business Development, Communication, Negotiation, Sales Leadership",bachelor's in business,4,real estate knowledge|cloudformation|adobe creative suite|swift|business development|communication|negotiation|sales leadership|team management,real estate broker,construction & real estate
r000073,"Education: High School Experience: 0 years Skills: Accuracy, Cash Handling, Technical Writing, Point of Sale, Friendliness, App Testing, Customer Service, Communication",high school,0,accuracy|cash handling|technical writing|point of sale|friendliness|app testing|customer service|communication,cashier,retail & hospitality
r000074,"Education: Bachelor's in Manufacturing Engineering Experience: 1 years Skills: Process Design, Network Security, Quality Control, Go, CAD, Equipment Knowledge, Problem Solving, Jira",bachelor's in manufacturing engineering,1,process design|network security|quality control|go|cad|equipment knowledge|problem solving|jira|production planning,manufacturing engineer,engineering & manufacturing
r000075,"Education: Bachelor's in Computer Science Experience: 0 years Skills: Financial Analysis, API Integration, Problem Solving, Strategic Planning, Adobe Creative Suite, Marketing, JavaScript, TensorFlow",bachelor's in computer science,0,financial analysis|api integration|problem solving|strategic planning|adobe creative suite|marketing|javascript|tensorflow|e-commerce|liquid|shopify,shopify developer,technology
r000076,"Education: Bachelor's in Business Experience: 1 years Skills: Scikit-learn, Excel, SQL, Deep Learning, Data Analysis, Tableau, Power BI, Reporting",bachelor's in business,1,scikit-learn|excel|sql|deep learning|data analysis|tableau|power bi|reporting,bi analyst,data & analytics
r000077,"Education: Design Certification Experience: 4 years Skills: Scikit-learn, Branding, User Experience, Visual Communication, Attention to Detail, Creativity, Adobe Creative Suite, Design Software",design certification,4,scikit-learn|branding|user experience|visual communication|attention to detail|creativity|adobe creative suite|design software|kotlin,graphic designer,creative & design
r000078,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Apache Kafka, Streaming, Oracle, Scalability, Pandas, Distributed Systems, Event Processing, Problem Solving",bachelor's in computer science,2,apache kafka|streaming|oracle|scalability|pandas|distributed systems|event processing|problem solving|teamwork|sql,kafka developer,technology
r000079,"Education: Architecture Certification Experience: 7 years Skills: R, System Architecture, Technical Expertise, Business Acumen, Pandas, User Interface, Cassandra, Leadership",architecture certification,7,r|system architecture|technical expertise|business acumen|pandas|user interface|cassandra|leadership|communication|solution design,solution architect,technology
r000080,"Education: Massage Therapy School Experience: 2 years Skills: MySQL, Ansible, Communication, Mobile Security, Problem Solving, Anatomy, Customer Service, PHP",massage therapy school,2,mysql|ansible|communication|mobile security|problem solving|anatomy|customer service|php|empathy|massage therapy|cloudformation,massage therapist,beauty & wellness
r000081,"Education: Administrative Certification Experience: 3 years Skills: Leadership Support, Communication, Executive Support, Responsive Design, Tableau, CloudFormation, Problem Solving, Organization",administrative certification,3,leadership support|communication|executive support|responsive design|tableau|cloudformation|problem solving|organization|discretion|gcp,executive assistant,administration
r000082,"Education: Bachelor's in Mechanical Engineering Experience: 0 years Skills: Kotlin, Jenkins, Technical Documentation, Penetration Testing, Mechanical Design, Thermodynamics, Prototyping, Problem Solving",bachelor's in mechanical engineering,0,kotlin|jenkins|technical documentation|penetration testing|mechanical design|thermodynamics|prototyping|problem solving|communication|cad|physics,mechanical engineer,engineering & manufacturing
r000083,"Education: IT Certification Experience: 2 years Skills: AWS, Cassandra, CI/CD, Java, Terraform, React Native, Linux, Kubernetes",it certification,2,aws|cassandra|ci/cd|java|terraform|react native|linux|kubernetes|docker|scripting|app testing,devops engineer,technology
r000084,"Education: Bachelor's in Business Experience: 6 years Skills: TensorFlow, Marketing, TypeScript, Sales Strategy, CRM, Negotiation, Perl, Target Setting",bachelor's in business,6,tensorflow|marketing|typescript|sales strategy|crm|negotiation|perl|target setting|communication|team leadership,sales manager,marketing & sales
r000085,"Education: Real Estate License Experience: 2 years Skills: Communication, Property Knowledge, Negotiation, Customer Service, Shell Scripting, Mentoring, Sales, Marketing",real estate license,2,communication|property knowledge|negotiation|customer service|shell scripting|mentoring|sales|marketing|financial analysis,real estate agent,construction & real estate
r000086,"Education: Bachelor's in Engineering Experience: 4 years Skills: Technical Knowledge, Project Management, Communication, Graphic Design, R, Documentation, Coordination, Problem Solving",bachelor's in engineering,4,technical knowledge|project management|communication|graphic design|r|documentation|coordination|problem solving|leadership,project engineer,engineering & manufacturing
r000087,"Education: Bachelor's in Business Experience: 1 years Skills: Analytics, Web Design, Adaptability, Java, Account Management, Communication, Customer Relations, Product Knowledge",bachelor's in business,1,analytics|web design|adaptability|java|account management|communication|customer relations|product knowledge|react native|problem solving,customer success manager,sales & customer service
r000088,"Education: Radiography License Experience: 2 years Skills: TensorFlow, Communication, Attention to Detail, SQL, Radiation Safety, Imaging Technology, Technical Skills, Adobe Creative Suite",radiography license,2,tensorflow|communication|attention to detail|sql|radiation safety|imaging technology|technical skills|adobe creative suite|patient care,radiographer,healthcare
r000089,"Education: Military Academy Experience: 5 years Skills: Communication, Scrum, Problem Solving, React, Leadership, Strategic Planning, Safety, P&L Management",military academy,5,communication|scrum|problem solving|react|leadership|strategic planning|safety|p&l management|shell scripting|discipline|perl,military officer,law enforcement
r000090,"Education: Bachelor's in Computer Science Experience: 2 years Skills: UI/UX, Swift, Problem Solving, Xcode, Mobile Development, iOS Development, Figma, Data Analysis",bachelor's in computer science,2,ui/ux|swift|problem solving|xcode|mobile development|ios development|figma|data analysis|user interface,swift developer,technology
r000091,"Education: Bachelor's in Marketing Experience: 5 years Skills: Campaign Management, Communication, Analytics, Budget Management, Leadership, Shell Scripting, Ansible, Brand Strategy",bachelor's in marketing,5,campaign management|communication|analytics|budget management|leadership|shell scripting|ansible|brand strategy,marketing manager,marketing & sales
r000092,"Education: Social Media Certification Experience: 2 years Skills: NoSQL, Query Optimization, Analytics, Content Creation, P&L Management, Communication, Creativity, Photography/Videography",social media certification,2,nosql|query optimization|analytics|content creation|p&l management|communication|creativity|photography/videography|social media,social media content creator,media production
r000093,"Education: Bachelor's in Computer Science Experience: 5 years Skills: LispyScript, Functional Programming, Concurrency, PHP, Clojure, Vue.js, Rust, Mobile Security",bachelor's in computer science,5,lispyscript|functional programming|concurrency|php|clojure|vue.js|rust|mobile security|negotiation|java interop|problem solving,clojure developer,technology
r000094,"Education: Bachelor's in IT Experience: 2 years Skills: SQL, Business Development, Analytics, Dashboard Development, Looker, PHP, Shell Scripting, LookML",bachelor's in it,2,sql|business development|analytics|dashboard development|looker|php|shell scripting|lookml|risk assessment|data visualization,looker developer,data & analytics
r000095,"Education: Bachelor's in Safety Engineering Experience: 2 years Skills: Problem Solving, Mobile UI/UX, Regulatory Knowledge, Negotiation, Risk Assessment, Technical Writing, Safety Management, Adaptability",bachelor's in safety engineering,2,problem solving|mobile ui/ux|regulatory knowledge|negotiation|risk assessment|technical writing|safety management|adaptability|communication|leadership|microservices,safety engineer,energy & utilities
r000096,"Education: Bachelor's in Accounting Experience: 6 years Skills: SEO, Internal Controls, Leadership, Risk Assessment, Audit Procedures, AWS, C#, Compliance",bachelor's in accounting,6,seo|internal controls|leadership|risk assessment|audit procedures|aws|c#|compliance|communication|flask,audit manager,finance & accounting
r000097,"Education: Master's in Business Experience: 4 years Skills: Rust, Leadership, Compliance, Department Management, Decision Making, Strategic Planning, Budget Control, Communication",master's in business,4,rust|leadership|compliance|department management|decision making|strategic planning|budget control|communication,director,private sector management
r000098,"Education: QA Certification Experience: 1 years Skills: SQL, API Testing, Manual Testing, Test Automation, React, Serverless, MongoDB, Bug Tracking",qa certification,1,sql|api testing|manual testing|test automation|react|serverless|mongodb|bug tracking|figma|selenium,qa engineer,technology
r000099,"Education: Bachelor's in Engineering Experience: 4 years Skills: SQL, Analytics, Time Management, Data Modeling, Scikit-learn, REST API, Cloud Platforms, dbt",bachelor's in engineering,4,sql|analytics|time management|data modeling|scikit-learn|rest api|cloud platforms|dbt|python,analytics engineer,data & analytics
r000100,"Education: Bachelor's in Cybersecurity Experience: 3 years Skills: Vulnerability Testing, Problem Solving, Security Tools, Reporting, Risk Assessment, Security Testing, Redis, Django",bachelor's in cybersecurity,3,vulnerability testing|problem solving|security tools|reporting|risk assessment|security testing|redis|django,security tester,technology
